Organisationsname,Straße,Postleitzahl,Stadt,Bildungsbereich,Tag(s),Schultyp,Bundesland,Land,Änderungsdatum
Kaufmännische Schule Göppingen,Christian-Grüninger-Str. 12,73035,Göppingen,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufsschule,BW,Deutschland,2020-05-31 14:30:52
Schiller-Gymnasium Offenburg,Zellerstraße 33,77654,Offenburg,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-28 22:30:58
Ottheinrich-Gymnasium Wiesloch,Gymnasiumstraße 1-3,69168,Wiesloch,,"Metropolregion Rhein-Neckar MINT-Region,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-06-22 10:11:57
Laubenhartschule Bartholomä,Marktwiese 1,73566,Bartholomä,Primarbereich,"Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-03-30 13:03:04
Gymnasien I und II im Ellental Bietigheim-Bissingen,Schwarzwaldstraße 29,74321,Bietigheim-Bissingen,,"Ehrung_2016,Erstbewerber MINT 2016,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",allgemein bildendes Gymnasium,BW,Deutschland,2019-12-23 18:39:25
Werdenbergschule Trochtelfingen,Hohenbergstr. 13-19,72818,Trochtelfingen,,"Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gemeinschaftsschule,BW,Deutschland,2020-05-28 17:35:04
Ehrhart-Schott-Schule Schwetzingen,Lessingstraße 18,68723,Schwetzingen,,"Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufsbildende Schule,BW,Deutschland,2020-05-29 19:18:25
Max-Planck-Gymnasium Böblingen,Murkenbachweg 4,71032,Böblingen,,"Erstbewerber MINT 2018,Ehrung_2018,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,keine Digital Ehrung 2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-18 09:45:36
St. Gertrudis Mädchenrealschule und Gymnasium Ellwangen,Schönbornweg 8,73479,Ellwangen,,"Erstbewerber MINT 2018,Ehrung_2018,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka","Gymnasium, Realschule",BW,Deutschland,2018-10-08 14:51:31
Augusta-Bender-Schule Mosbach,Schillerstraße 2,74821,Mosbach,,"Erstbewerber MINT 2018,Ehrung_2018,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,keine MINT Ehrung 2019,keine Digital Ehrung 2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufliche Schule,BW,Deutschland,2019-05-28 13:16:39
